Date,Flow (MGD),Velocity (ft/s),Depth (inches),Rainfall (inches)
2018-04-03 23:00:00,0.1,0.65,3.2,0.0
2018-04-03 23:15:00,0.1,0.66,3.16,0.0
2018-04-03 23:30:00,0.12,0.79,3.16,0.0
2018-04-03 23:45:00,0.1,0.7,3.1,0.0
2018-04-04 00:00:00,0.09,0.6,3.15,0.0
2018-04-04 00:15:00,0.09,0.62,3.07,0.0
2018-04-04 00:30:00,0.09,0.63,3.05,0.0
2018-04-04 00:45:00,0.08,0.6,3.05,0.0
2018-04-04 01:00:00,0.09,0.67,3.01,0.0
2018-04-04 01:15:00,0.09,0.67,3.03,0.0
2018-04-04 01:30:00,0.09,0.66,3.05,0.0
2018-04-04 01:45:00,0.09,0.65,3.03,0.0
2018-04-04 02:00:00,0.09,0.66,3.06,0.0
2018-04-04 02:15:00,0.09,0.64,3.03,0.02
2018-04-04 02:30:00,0.08,0.61,3.01,0.03
2018-04-04 02:45:00,0.09,0.66,3.09,0.01
2018-04-04 03:00:00,0.11,0.73,3.14,0.0
2018-04-04 03:15:00,0.09,0.67,3.04,0.01
2018-04-04 03:30:00,0.09,0.68,3.03,0.0
2018-04-04 03:45:00,0.1,0.71,3.05,0.0
2018-04-04 04:00:00,0.09,0.64,3.06,0.03
2018-04-04 04:15:00,0.09,0.67,3.04,0.03
2018-04-04 04:30:00,0.09,0.68,3.03,0.01
2018-04-04 04:45:00,0.09,0.67,3.08,0.0
2018-04-04 05:00:00,0.09,0.67,3.09,0.0
2018-04-04 05:15:00,0.1,0.71,3.06,0.0
2018-04-04 05:30:00,0.1,0.7,3.1,0.0
2018-04-04 05:45:00,0.1,0.65,3.21,0.0
2018-04-04 06:00:00,0.1,0.7,3.09,0.0
2018-04-04 06:15:00,0.1,0.68,3.13,0.0
2018-04-04 06:30:00,0.1,0.67,3.19,0.0
2018-04-04 06:45:00,0.09,0.65,3.1,0.0
2018-04-04 07:00:00,0.1,0.71,3.17,0.0
2018-04-04 07:15:00,0.1,0.7,3.2,0.0
2018-04-04 07:30:00,0.1,0.7,3.18,0.0
2018-04-04 07:45:00,0.1,0.66,3.27,0.0
2018-04-04 08:00:00,0.11,0.71,3.28,0.0
2018-04-04 08:15:00,0.11,0.76,3.17,0.0
2018-04-04 08:30:00,0.11,0.71,3.24,0.0
2018-04-04 08:45:00,0.11,0.74,3.16,0.0
2018-04-04 09:00:00,0.09,0.63,3.19,0.0
2018-04-04 09:15:00,0.11,0.73,3.16,0.0
2018-04-04 09:30:00,0.11,0.73,3.23,0.0
2018-04-04 09:45:00,0.11,0.71,3.24,0.0
2018-04-04 10:00:00,0.11,0.72,3.18,0.0
2018-04-04 10:15:00,0.09,0.61,3.17,0.0
2018-04-04 10:30:00,0.1,0.68,3.16,0.0
2018-04-04 10:45:00,0.1,0.68,3.17,0.0
2018-04-04 11:00:00,0.1,0.67,3.13,0.0
2018-04-04 11:15:00,0.09,0.62,3.17,0.0
2018-04-04 11:30:00,0.09,0.66,3.11,0.0
2018-04-04 11:45:00,0.11,0.77,3.14,0.0
2018-04-04 12:00:00,0.1,0.72,3.11,0.0
2018-04-04 12:15:00,0.1,0.69,3.13,0.0
2018-04-04 12:30:00,0.11,0.73,3.16,0.0
2018-04-04 12:45:00,0.09,0.67,3.08,0.0
2018-04-04 13:00:00,0.09,0.64,3.2,0.0
2018-04-04 13:15:00,0.09,0.62,3.24,0.0
2018-04-04 13:30:00,0.11,0.75,3.13,0.0
2018-04-04 13:45:00,0.11,0.73,3.14,0.0
2018-04-04 14:00:00,0.1,0.68,3.21,0.0
2018-04-04 14:15:00,0.11,0.77,3.09,0.0
2018-04-04 14:30:00,0.1,0.69,3.14,0.0
2018-04-04 14:45:00,0.14,0.94,3.21,0.0
2018-04-04 15:00:00,0.09,0.59,3.18,0.0
2018-04-04 15:15:00,0.1,0.7,3.14,0.0
2018-04-04 15:30:00,0.11,0.73,3.2,0.0
2018-04-04 15:45:00,0.11,0.74,3.28,0.0
2018-04-04 16:00:00,0.1,0.63,3.38,0.0
2018-04-04 16:15:00,0.1,0.66,3.15,0.0
2018-04-04 16:30:00,0.1,0.68,3.09,0.0
2018-04-04 16:45:00,0.09,0.62,3.13,0.0
2018-04-04 17:00:00,0.1,0.7,3.14,0.0
2018-04-04 17:15:00,0.12,0.79,3.23,0.0
2018-04-04 17:30:00,0.14,0.9,3.31,0.0
2018-04-04 17:45:00,0.12,0.76,3.27,0.0
